,city,price
308,columbus,4250
309,columbus,4500
310,columbus,145000
311,columbus,6500
312,columbus,2995
313,columbus,9995
314,columbus,350
315,columbus,12995
316,columbus,8995
317,columbus,2000
318,columbus,2000
319,columbus,8995
320,columbus,3000
321,columbus,4012
322,columbus,19400
323,columbus,13995
324,columbus,33821
325,columbus,15000
326,columbus,16800
327,columbus,29995
328,columbus,3500
329,columbus,52750
330,columbus,15900
331,columbus,2000
332,columbus,69995
333,columbus,16995
334,columbus,59995
335,columbus,14995
336,columbus,39995
337,columbus,59995
338,columbus,59995
339,columbus,32995
340,columbus,11500
341,columbus,64995
342,Chattanooga,21000
343,Chattanooga,7500
344,Chattanooga,1
345,Chattanooga,8500
346,Chattanooga,5000
347,Chattanooga,5000
348,Chattanooga,99995
349,Chattanooga,59995
350,Chattanooga,1265
351,Chattanooga,7995
352,Chattanooga,3000
353,Chattanooga,3000
354,Chattanooga,6950
355,Chattanooga,13500
356,Chattanooga,10900
357,Chattanooga,825
358,Chattanooga,3500
359,Chattanooga,69
360,Chattanooga,30599
361,Chattanooga,7300
362,Chattanooga,6000
363,Chattanooga,27999
364,Chattanooga,109997
365,Chattanooga,12997
366,Chattanooga,119996
367,Chattanooga,22997
368,Chattanooga,1895
369,Chattanooga,40350
370,Chattanooga,99997
371,Chattanooga,149616
372,Chattanooga,19997
373,Chattanooga,21997
374,Chattanooga,19997
375,Chattanooga,26199
376,Chattanooga,2500
377,Chattanooga,28699
378,Chattanooga,3500
379,Chattanooga,35887
380,Chattanooga,59997
381,Chattanooga,83997
382,Chattanooga,49997
383,Chattanooga,49997
384,Chattanooga,21997
385,Chattanooga,29997
386,Chattanooga,32997
387,Chattanooga,32997
388,Chattanooga,46997
389,Chattanooga,37997
390,Chattanooga,42997
391,Chattanooga,44997
392,Chattanooga,22997
393,Chattanooga,37997
394,Chattanooga,67399
395,Chattanooga,25997
396,Chattanooga,69997
397,Chattanooga,16997
398,Chattanooga,55997
399,Chattanooga,29997
400,Chattanooga,29997
401,Chattanooga,84997
402,Chattanooga,16997
403,Chattanooga,6800
404,Chattanooga,189997
405,Chattanooga,33997
406,Chattanooga,49997
407,Chattanooga,45997
408,Chattanooga,86995
409,Chattanooga,83997
410,Chattanooga,44997
411,Chattanooga,151624
412,Chattanooga,22997
413,Chattanooga,83997
414,Chattanooga,299997
415,Chattanooga,15500
416,Chattanooga,154616
417,Chattanooga,33997
418,Chattanooga,37997
419,Chattanooga,83997
420,Chattanooga,28099
421,Buffalo,44900
422,Buffalo,12600
423,Buffalo,5900
424,Buffalo,15200
425,Buffalo,14500
426,Buffalo,10500
427,Buffalo,2100
428,Buffalo,1500
429,Buffalo,4200
430,Buffalo,39000
431,Buffalo,145
432,Buffalo,32000
433,Buffalo,22999
434,Buffalo,11000
435,Buffalo,500
436,Buffalo,12000
437,Buffalo,24000
438,Buffalo,15000
439,Buffalo,9900
440,Buffalo,7995
441,Buffalo,2500
442,Buffalo,24995
443,Buffalo,15995
444,Buffalo,20
445,Buffalo,125
446,Buffalo,29995
447,Buffalo,29995
448,Buffalo,5000
449,Buffalo,875
450,Buffalo,2200
451,Buffalo,1900
452,Buffalo,3000
453,Buffalo,8000
454,Buffalo,19300
455,Buffalo,31900
456,Buffalo,3495
457,Buffalo,7995
458,Buffalo,9000
459,Buffalo,13995
460,Buffalo,50
461,Buffalo,7995
462,Buffalo,25400
463,Buffalo,14705
464,Buffalo,360062
465,Buffalo,17995
466,Buffalo,19995
467,Buffalo,23995
468,Buffalo,9995
469,Buffalo,74995
470,Buffalo,34995
471,Buffalo,27995
472,Buffalo,49995
473,Buffalo,7995
474,Buffalo,59995
475,Buffalo,7995
476,Buffalo,8995
477,Buffalo,1500
478,Buffalo,7995
479,Buffalo,8995
480,Buffalo,11995
481,Buffalo,55000
482,Buffalo,115000
483,Buffalo,9995
484,Buffalo,5900
485,Buffalo,16500
486,Buffalo,2695
487,Buffalo,17995
488,Buffalo,18995
489,Buffalo,7500
490,Buffalo,11995
491,Buffalo,17995
492,Buffalo,11995
493,Buffalo,11500
494,Buffalo,12995
495,Buffalo,13995
496,Buffalo,19995
497,Buffalo,14995
498,Buffalo,30930
499,Buffalo,21997
500,Buffalo,25567
501,Buffalo,1475
502,Buffalo,24878
503,Buffalo,46557
504,Buffalo,40
505,Buffalo,13995
506,Buffalo,5995
507,Buffalo,14995
508,Buffalo,18995
509,Buffalo,66995
510,Buffalo,26995
511,Buffalo,3000
512,Buffalo,6995
513,Buffalo,84900
514,Buffalo,29998
515,Buffalo,13900
516,Buffalo,72900
517,Buffalo,9900
518,Buffalo,164900
519,boise,15999
520,boise,8444
521,boise,19999
522,boise,19999
523,boise,19999
524,boise,1000
525,boise,21874
526,boise,19499
527,boise,7999
528,boise,94500
529,boise,6950
530,boise,21950
531,boise,16950
532,boise,8950
533,boise,10950
534,boise,15950
535,boise,49950
536,boise,12950
537,boise,12950
538,boise,7950
539,boise,24950
540,boise,11950
541,boise,10950
542,boise,69950
543,boise,7500
544,boise,39950
545,boise,39950
546,boise,13950
547,boise,18950
548,boise,11000
549,boise,14000
550,boise,16500
551,boise,175
552,boise,69995
553,boise,2500
554,boise,9000
555,boise,52500
556,boise,1300
557,boise,51900
558,boise,51900
559,boise,1
560,boise,14995
561,boise,39995
562,boise,325
563,boise,250
564,boise,49999
565,boise,3600
566,boise,350
567,boise,225
568,boise,700
569,boise,350
570,boise,4400
571,boise,5000
572,boise,2400
573,boise,80
574,boise,7500
575,boise,15000
